Brazil,BRA,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.92,18.95,16.55,15.71,13.02,13.27,12.69,13.8,14.0,15.94,13.85,12.65,10.42,9.98,9.42,8.95,8.45,8.46,8.72,8.6,10.07,10.13,10.23,10.22,
Barbados,BRB,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05,,,22.78,20.98,21.07,21.26,21.73,,,17.12,19.19,,,,,,
Brunei Darussalam,BRN,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,9.81,9.8,12.76,9.99,6.84,6.91,7.57,3.51,,4.12,,,
Bhutan,BTN,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55,,,,,,14.76,,21.47,21.53,,17.75,,,,,,
Botswana,BWA,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03,,,11.29,10.86,10.72,9.41,9.96,10.01,5.39,3.75,7.61,
Sub-Saharan Africa (IFC classification),CAA,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.86,,16.78,,,,18.3,16.86,,,17.26,,13.62,,,,,,
Canada,CAN,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,,,,6.98,,7.01,5.6,5.25,3.94,3.74,3.47,3.81,3.69,6.84,3.57,3.43,3.41,3.59,3.58,3.65,2.35,,2.29,
East Asia and the Pacific (IFC classification),CEA,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia (IFC classification),CEU,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21,,,14.74,,16.77,7.23,3.65,3.19,3.03,2.68,2.62,2.71,2.87,2.6,2.52,2.76,4.0,3.91,2.25,0.0,0.0,,
Channel Islands,CHI,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95,10.94,10.93,10.93,,10.97,10.94,9.96,9.0,8.0,6.96,,5.99,5.99,5.98,5.98,5.98,5.98,5.99,,,
China,CHN,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.17,30.29,27.93,,19.76,15.82,15.58,14.46,14.67,14.11,,6.48,5.96,4.9,4.39,5.31,4.83,4.62,4.73,4.56,,
Cote d'Ivoire,CIV,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.18,,,15.7,,,,,7.22,7.21,8.51,8.54,7.61,7.38,7.32,6.51,6.51,7.43,6.91,6.91,
Latin America and the Caribbean (IFC classification),CLA,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93,14.54,,,,,,13.49,13.9,,,14.45,,13.14,,15.04,,12.26,12.74,
"Congo, Rep.",COG,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.35,,,16.68,,,,17.77,18.11,,,17.29,,14.65,,,,,,
