"Education & Training Overall Achievement Rates by Age, Level and Qualification Type",,,,,,,,
Institution Type,Hybrid End Year,Age,Qualification Level,Qualification Type,Overall Cohort,Overall Achievement Rate %,Retention Rate %,Pass Rate %
All Institution Type,2015/16,All Age,All Qualification Levels,Award,"276,380",89.7,94.2,95.2
All Institution Type,2015/16,All Age,All Qualification Levels,Basic Skills Maths and English,"534,160",62.8,84.9,74.0
All Institution Type,2015/16,All Age,All Qualification Levels,Certificate,"470,490",88.2,91.6,96.4
All Institution Type,2015/16,All Age,All Qualification Levels,Diploma,"530,340",84.4,89.1,94.7
All Institution Type,2015/16,All Age,All Qualification Levels,ESOL,"196,570",86.5,93.8,92.2
All Institution Type,2015/16,All Age,All Qualification Levels,GCSE Maths and English,"303,840",80.1,87.9,91.1
All Institution Type,2015/16,All Age,All Qualification Levels,GCSE Other,"23,360",83.0,87.3,95.1
All Institution Type,2015/16,All Age,All Qualification Levels,Other Non-Regulated,"289,230",92.7,94.1,98.5
All Institution Type,2015/16,All Age,All Qualification Levels,Other Regulated,"104,800",79.1,87.8,90.1
All Institution Type,2015/16,All Age,All Qualification Levels,QCF Unit,"112,870",94.9,97.6,97.2
