# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,KX001,KX002,KX003,KX005,KX006,KX007,KX008,KX009,KX010,KX011,KX012,KX013,KX014,KX015,KX017,KX018,KX019,KX020,KX021,KX022,KX023,KX025,KX026,KX027,KX028,KX029,KX031,KX032,KX037,KX038,KX041,KX042,KX044,KX045,KX047,KX048,KX049,KX051,KX052,KX053,KX056,KX057,KX058,KX059,KX062,KX063,KX065,KX066,KX067,KX069,KX070,KX071,KX072,KX073,KX074,KX075,KX076,KX077,KX078,KX079,KX080,KX081,KX082,KX084,KX085,KX086,KX087,KX088,KX089,KX090,KX091,KX094,KX095,KX096,KX097,KX098,KX100,KX101,KX102,KX103,KX105,KX106,KX107,KX108,KX110,KX112,KX113,KX114,KX115,KX117,KX118,KX119,KX120,KX121,KX123,KX124,KX125,KX126,KX127,KX129,KX130,KX132,KX133,KX135,KX136,KX137,KX138,KX139,KX140,KX141,KX142,KX143,KX145,KX146,KX147,KX148,KX149,KX150,KX152,KX155,KX156,KX157,KX158,KX159,KX161,KX162,KX163,KX164,KX165,KX167,KX168,KX169,KX171,KX172,KX173,KX174,KX176,KX177,KX178,KX179,KX180,KX181,KX182,KX183,KX184,KX185,KX186,KX187,KX188,KX189,KX190,KX191,KX192,KX193,KX194,KX195,KX196,taxonomy
OTU_31,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cnidaria
OTU_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,13,0,0,0,0,0,0,0,3833,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amphipoda
OTU_35,0,48,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1410,0,0,0,0,0,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,914,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dinophyceae
OTU_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,4587,204,0,0,Mysida
OTU_37,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ctenophora
OTU_39,0,233,0,173,0,0,0,7,0,0,0,0,0,0,0,35,18,0,0,0,0,0,0,0,16,24,40,1,0,0,0,0,5,92,0,0,0,0,0,92,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,1,0,1,0,3,0,9,0,523,0,202,0,0,0,189,0,0,1,0,0,0,29,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1001,0,0,7,0,0,0,0,1,0,0,5,0,3,2,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,59,36,30,0,0,0,526,0,0,0,0,10,2,1061,0,0,5,52,15,0,0,0,0,1,0,0,0,Chaetocerotales
OTU_40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,392,74,11,1,14,0,0,3,996,0,9,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1414,14,1,0,0,0,0,0,0,326,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,Thecosomata
OTU_41,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,577,0,0,0,0,0,17,0,0,245,43,8,0,0,0,764,0,0,0,0,0,5,70,0,4,0,0,0,0,0,1,0,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,16,0,13,0,343,0,0,0,2,11,7,424,0,0,0,18,0,0,0,0,0,0,0,3,0,Cryomonadida
OTU_43,0,54,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,604,129,0,0,0,1,68,836,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,1,0,0,0,447,0,318,65,0,0,235,0,0,29,2,0,0,0,0,60,0,0,0,0,0,3,86,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,527,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dinophyceae
OTU_47,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Trachymedusae
