Real estate debt,Billions,27.238348,28.826497,31.379625,35.188298,39.563003,43.750962,48.484701,55.834463,63.424623,75.77809,85.272367,93.90527,96.769083,98.071338,101.393312,94.08997746,84.08766161,75.80985868,70.82942266,68.76141979,67.6329725693,67.449879749,67.87933731929999,68.4327308691,69.9118520596,71.7229365986,74.4222354189,78.5135550889,83.1002630791,87.2060874795,84.7237630922202,88.54101070921969,95.4228945900208,94.138445974697,96.871866773565,101.517822356969,101.474839704495,107.77767330215
Farm Credit System,Billions,6.368922,7.000181,8.014159,9.616844,11.839517,14.043688,16.223152,18.771473,21.56685,25.969746,31.575578,38.293671,41.493247,42.124283,44.26608546,39.63843465,33.10106055,28.19445149,25.88536024,24.3408142,23.4616642498,22.7747710798,22.8667923499,22.4096178398,22.1370362197,22.4804839897,23.4502018997,24.9246710598,26.7875985498,28.0447507898,29.69204618,32.85468711,37.8153660798354,37.6615082410266,37.722787045965504,40.125201882679,40.8809312693013,45.3564518763813
Farm Service Agency,Billions,2.168992,2.319457,2.50552,2.653508,2.821357,2.946795,3.189606,3.462207,3.57142,5.967133,7.0948,7.726319,7.922736,8.186795,9.04643906,9.23165506,9.03318205,8.67567772,8.17156867,7.42390862,6.9137259799,6.3367582199,5.7550072899,5.2536465099,4.91855609,4.5727698099,4.28537172,4.02197471,3.77726452,3.58369354,3.41822274,3.34737439,3.18065511998826,2.48464265077431,2.22232267915763,2.05028744108195,2.1066825563372698,2.05388602389269
Commercial banks,Billions,3.333945,3.716254,4.207609,4.774637,5.204225,5.475971,5.884076,6.734576,7.38858,7.46313,7.430446,7.252783,7.238966,7.979692,9.14505867,10.08796593,11.10629791,12.45812807,13.13465375,14.1953639,14.7407566199,15.6748738098,16.881167409899998,17.6351010298,18.9712339097,20.1513231199,21.2136950298,23.2154978298,25.1931797798,27.5788393599,29.75697297,31.08210227,33.059776669835,32.9368088308636,35.2325199680168,36.9388269203668,37.7769939679854,40.597662494539
Life insurance companies,Billions,5.038804,4.980919,5.035955,5.304091,5.581876,5.938785,6.511942,7.73519,9.160409,10.654407,11.337301,11.482287,11.171688,11.016282,11.29655158,10.59632513,9.65067114,8.60662695,8.22584544,8.247377,8.7820953799,8.5912247599,7.8885154299,8.0869425099,8.122622830000001,8.2245814699,8.6291974199,8.9209560199,9.943629199999998,10.63397797,11.05329975,11.20539104,11.4209451599709,11.3713770794873,10.9122820604505,11.0190992595208,11.2918474498559,11.152206477153
Individuals and others,Billions,10.181409,10.619908,11.350228,12.561253,13.899119,15.175336,16.532391,18.639262,20.589756,24.332811,26.377883,27.808051,27.815219,27.876341,27.01608472,24.22852972,21.07372488,17.82926154,15.39137853,14.54238054,13.7282243699,14.0684654199,14.4858705798,15.0474229698,15.7624029899,16.2937782299,16.8437694099,17.4304555898,17.398591029800002,17.3648258198,10.8032214522202,10.0514558992197,9.94615156039124,9.68410917254522,10.7819550199746,11.3844068533202,9.211966861910993,8.39132642249251
Commodity Credit Corporation storage and drying loans,Billions,0.146276,0.189778,0.266154,0.277965,0.216909,0.170387,0.143534,0.491755,1.147608,1.390863,1.456359,1.342159,1.127227,0.887945,0.623093,0.307067,0.122725,0.045713,0.020616,0.011575,0.006506,0.00378648,0.00198423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206417599103959,0.2261400076920089
Nonreal estate debt,Billions,21.26265926,23.99857126,26.7200625,31.58035358,35.10968352,39.75277745,45.65268944,52.56998249,60.44099828,71.74213687,77.15960135,83.7822081,87.1939127,88.1067791,87.42002315,78.064559,67.2201608,62.6975433,62.3089268,62.26898215,63.482822799800005,64.4229028999,63.6864752495,65.87884914989999,69.01720264939999,71.2623186494,74.1505206895,78.39382188959999,81.5260503096,80.4900570293,79.20605966717321,82.1234348189882,81.8007688321815,81.0064168082002,86.093198441143,91.7123955244356,94.91701675647847,103.742428836893
Farm Credit System,Billions,5.30311624,6.07054465,6.59175942,7.82754603,9.51586018,10.68064102,12.1156392,13.33880453,14.70782381,17.8424387,19.5117175,21.01002045,20.30961965,19.15613725,17.8686089,13.83371665,10.19820915,9.2798622,8.67462195,9.444862,9.74547715,10.11529125,10.23779185,10.4298353,11.063985,12.34251875,13.87786735,14.84415056,16.38263691,15.50973404,16.687385344,20.0,20.491,20.1651408,21.8956712,24.218291975357506,27.540078942947,32.252343589710904
Farm Service Agency,Billions,0.7153731,0.69769536,0.71024772,0.80251184,0.9608894,1.63943498,1.74585924,2.9372194,5.4332,8.7927942,10.8271386,13.7164952,14.00877885,13.87778145,14.8324298,15.8843192,15.5721853,15.246835,13.9255826,11.7058449,10.1198483999,8.865776199999999,7.711693400000001,6.73516085,6.4984769,5.4965955,4.98394828,4.54988809,4.24500717,4.26349259,4.208277584,4.150979149199999,3.9730220652,3.64580511173424,3.24215215184,3.01524331481882,2.7220882037583403,2.87750476490228
