Borough,Ward,2001_code,2011_code,Households_2001,Households_2011,Share_2001,Share_2011,Households_change,Share_change
Newham,West Ham,00BBGX,E05000494,2302,2208,45.39,40.90,-94,-4.49
Lewisham,Downham,00AZGJ,E05000442,2645,2476,43.57,40.80,-169,-2.77
Lewisham,New Cross,00AZGR,E05000449,3472,2662,52.88,40.50,-810,-12.38
Sutton,St Helier,00BFGK,E05000562,1860,1862,43.28,40.50,2,-2.78
Camden,Cantelowes,00AGGG,E05000131,2052,2055,43.49,40.30,3,-3.19
Islington,St Peter's,00AUGM,E05000380,2538,2243,48.28,40.30,-295,-7.98
Hackney,De Beauvoir,00AMGF,E05000236,2297,2417,53.38,40.00,120,-13.38
Hammersmith and Fulham,Hammersmith Broadway,00ANGG,E05000256,2326,2080,43.75,39.90,-246,-3.85
Barking and Dagenham,Village,00ABGN,E05000041,1683,1765,39.95,39.90,82,-0.05
Haringey,Tottenham Green,00APGQ,E05000280,2316,2325,44.45,39.20,9,-5.25
Haringey,Tottenham Hale,00APGR,E05000281,2130,2109,41.49,39.20,-21,-2.29
Lambeth,Thornton,00AYGS,E05000433,2255,1975,41.41,39.10,-280,-2.31
Tower Hamlets,Bow West,00BGGA,E05000577,1905,1952,43.21,39.00,47,-4.21
Greenwich,Abbey Wood,00ALGP,E05000214,2337,2321,41.04,38.90,-16,-2.14
Hackney,Dalston,00AMGE,E05000235,2209,2506,48.53,38.90,297,-9.63
Barking and Dagenham,Mayesbrook,00ABGH,E05000036,1695,1519,44.01,38.60,-176,-5.41
Hounslow,Hanworth,00ATGF,E05000353,1614,1796,37.36,38.60,182,1.24
Kensington and Chelsea,Norland,00AWGJ,E05000392,1520,1588,36.87,38.60,68,1.73
Islington,Barnsbury,00AUFX,E05000366,2272,2132,46.49,38.50,-140,-7.99
Waltham Forest,Cathall,00BHFY,E05000591,1691,1745,40.35,38.50,54,-1.85
Bexley,Thamesmead East,00ADGX,E05000084,1641,1756,37.22,38.40,115,1.18
Haringey,Noel Park,00APGK,E05000275,2031,2114,42.87,38.20,83,-4.67
Greenwich,Thamesmead Moorings,00ALHE,E05000228,2131,2646,43.05,38.00,515,-5.05
Islington,St George's,00AUGK,E05000378,2156,2063,41.59,38.00,-93,-3.59
Hammersmith and Fulham,Shepherd's Bush Green,00ANGP,E05000263,1898,2104,38.53,37.90,206,-0.63
Southwark,South Camberwell,00BEGW,E05000551,2157,1934,44.66,37.90,-223,-6.76
Hounslow,Brentford,00ATFZ,E05000347,1864,2245,39.81,37.70,381,-2.11
